proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,modern_latitude,modern_longitude
Stomatal Frequencies,6300,500,500,327.65,33.34,15.77,,
Stomatal Frequencies,4000,2000,2000,355.26,455.68,49.76,,
Stomatal Frequencies,15900,100,400,364.39,133.26,36.67,47,-116.3
Stomatal Frequencies,15900,100,400,467.62,74.92,119.28,47,-116.3
Stomatal Frequencies,15900,100,400,498.13,26.85,24.16,47,-116.3
Stomatal Frequencies,15900,100,400,461.32,29.12,26.56,47,-116.3
Stomatal Frequencies,15900,100,400,462.35,13.92,14.16,47,-116.3
Stomatal Frequencies,15900,100,400,479.86,20.95,19.39,47,-116.3
Stomatal Frequencies,15900,100,400,427.94,18.65,18.73,47,-116.3
Stomatal Frequencies,15900,100,400,395.01,15.78,15.03,47,-116.3
Stomatal Frequencies,15900,100,400,383.31,15.96,16.08,47,-116.3
Stomatal Frequencies,15900,100,400,416.01,35.99,34.32,47,-116.3
Stomatal Frequencies,15900,100,400,357.45,7.12,7.18,47,-116.3
Stomatal Frequencies,15900,100,400,361.99,6.5,6.79,47,-116.3
Stomatal Frequencies,15900,100,400,351.85,3.06,3.1,47,-116.3
Stomatal Frequencies,15900,100,400,370.56,3.42,3.47,47,-116.3
Stomatal Frequencies,15900,100,400,371.05,3.11,3.08,47,-116.3
Stomatal Frequencies,15900,100,400,348.99,6.86,6.79,47,-116.3
Stomatal Frequencies,15900,100,400,344.96,7.37,7.45,47,-116.3
Stomatal Frequencies,15900,100,400,326.32,14.4,14.47,47,-116.3
Stomatal Frequencies,15900,100,400,361.18,7.91,8.03,47,-116.3
Stomatal Frequencies,15900,100,400,368.7,2.06,2.08,47,-116.3
Stomatal Frequencies,15900,100,400,356.15,6.11,6.08,47,-116.3
Stomatal Frequencies,15900,100,400,355.59,4.25,4.27,47,-116.3
Stomatal Frequencies,15900,100,400,358.51,5.48,5.46,47,-116.3
Stomatal Frequencies,15900,100,400,355.99,6.43,6.43,47,-116.3
Stomatal Frequencies,15900,100,400,336.19,3.07,3.08,47,-116.3
Stomatal Frequencies,15900,100,400,456.95,19,18.05,47,-116.3
Stomatal Frequencies,15900,100,400,465.75,22.41,21.5,47,-116.3
Stomatal Frequencies,15900,100,400,516.85,21.28,19.38,47,-116.3
Stomatal Frequencies,15900,100,400,458.98,21.51,19.68,47,-116.3
Stomatal Frequencies,15900,100,400,486.67,30.97,27.88,47,-116.3
Stomatal Frequencies,15900,100,400,491.31,25.28,23.04,47,-116.3
Stomatal Frequencies,15900,100,400,524.93,15.93,15.09,47,-116.3
Stomatal Frequencies,15900,100,400,456.79,15.86,15.46,47,-116.3
Stomatal Frequencies,15900,100,400,434.17,23.69,23.02,47,-116.3
Stomatal Frequencies,15900,100,400,524.88,15.92,14.89,47,-116.3
Stomatal Frequencies,15900,100,400,518.62,31.07,27.25,47,-116.3
Stomatal Frequencies,15900,100,400,429.89,16.41,15.87,47,-116.3
Stomatal Frequencies,15900,100,400,428.43,9.05,9.07,47,-116.3
Stomatal Frequencies,15900,100,400,502.2,36.24,32.48,47,-116.3
Stomatal Frequencies,15900,100,400,406.27,7.85,7.93,47,-116.3
Stomatal Frequencies,15900,100,400,473.7,22.57,21.83,47,-116.3
Stomatal Frequencies,15900,100,400,546.78,17.45,15.83,47,-116.3
Stomatal Frequencies,15900,100,400,499.54,6.28,5.9,47,-116.3
Stomatal Frequencies,15900,100,400,467.48,4.62,4.43,47,-116.3
Stomatal Frequencies,15900,100,400,507.7,13.84,12.38,47,-116.3
Stomatal Frequencies,15900,100,400,481.47,6.29,6.01,47,-116.3
Stomatal Frequencies,15900,100,400,468.04,1.5,1.44,47,-116.3
Stomatal Frequencies,15900,100,400,356.62,9.81,9.62,47,-116.3
Stomatal Frequencies,15900,100,400,347.07,3.19,3.16,47,-116.3
Stomatal Frequencies,15900,100,400,369.9,6.88,6.99,47,-116.3
Stomatal Frequencies,15900,100,400,360.87,5.92,5.92,47,-116.3
Stomatal Frequencies,15900,100,400,383.31,5.49,5.38,47,-116.3
Stomatal Frequencies,15900,100,400,387.11,2.55,2.54,47,-116.3
Stomatal Frequencies,15900,100,400,378.44,8.03,8.01,47,-116.3
Stomatal Frequencies,15900,100,400,434.96,15.13,14.34,47,-116.3
Stomatal Frequencies,15900,100,400,478.91,20.7,19.73,47,-116.3
Stomatal Frequencies,15900,100,400,503.41,30.27,27.4,47,-116.3
Stomatal Frequencies,15900,100,400,493,5.11,5.04,47,-116.3
Stomatal Frequencies,11600,600,600,332,17,17,,
Stomatal Frequencies,13900,400,400,285,5,5,,
Stomatal Frequencies,13900,400,400,293,12,12,,
Stomatal Frequencies,15700,700,700,424,12,12,,
Stomatal Frequencies,15700,700,700,429,21,21,,
Stomatal Frequencies,15700,700,700,469,12,12,,
Stomatal Frequencies,15700,700,700,430,33,33,,
Stomatal Frequencies,16000,1000,1000,415,34,34,,
Stomatal Frequencies,16800,400,400,425,28,28,,
Stomatal Frequencies,16800,400,400,442,12,12,,
Stomatal Frequencies,16800,400,400,393,19,19,,
Stomatal Frequencies,17600,400,400,374,12,12,,
Stomatal Frequencies,17600,400,400,388,14,14,,
Stomatal Frequencies,17600,400,400,341,16,16,,
Stomatal Frequencies,19000,200,200,397,5,5,,
Stomatal Frequencies,19000,500,500,459,12,12,,
Stomatal Frequencies,20000,300,300,340,25,25,,
Stomatal Frequencies,22100,1500,1500,332,55,55,,
Stomatal Frequencies,25000,1000,1000,588,52,52,,
Stomatal Frequencies,21090,1740,1740,307,,,,
Stomatal Frequencies,19000,2000,2000,542,49,49,,
Stomatal Frequencies,22500,1000,1000,538,69,69,-45,167
Stomatal Frequencies,23200,200,200,641,17,17,-45.51667,170.21666
Stomatal Frequencies,19000,2000,2000,520,31,31,,
Stomatal Frequencies,22500,1000,1000,517,43,43,-45,167
Stomatal Frequencies,23200,200,200,582,11,11,-45.51667,170.21666
Stomatal Frequencies,19000,2000,2000,454,122,122,,
Stomatal Frequencies,22500,1000,1000,430,142,142,-45,167
Stomatal Frequencies,23200,200,200,647,22,22,-45.51667,170.21666
Stomatal Frequencies,64500,300,300,343,330,19,44.95,-108.87
Stomatal Frequencies,64500,300,300,471,285,144,45.07,-108.85
Stomatal Frequencies,64130,210,210,331,118,13,40,
Stomatal Frequencies,64000,950,950,367,340,43,77.5,
Stomatal Frequencies,61000,,,317,13,10,42.5,
Stomatal Frequencies,58500,650,650,573,218,201,52.25,
Stomatal Frequencies,58500,650,650,534,243,170,52.25,
Stomatal Frequencies,57336,455,648,447,294,114,44.86,-108.88
Stomatal Frequencies,56354,335,335,469,269,129,45.03,-109.08
Stomatal Frequencies,55943,150,150,317,12,11,44.8,
Stomatal Frequencies,55943,150,150,319,16,13,44.8,
Stomatal Frequencies,55943,150,150,312,13,10,44.8,
Stomatal Frequencies,55807,213,213,321,24,16,44.73,-108.68
Stomatal Frequencies,55664,125,125,315,16,13,44.05,-107.77
Stomatal Frequencies,55595,100,100,312,13,11,43.95,-107.56
Stomatal Frequencies,55363,100,129,304,12,8,44.16,-107.85
Stomatal Frequencies,55343,100,109,520,255,171,44.8,
Stomatal Frequencies,55341,100,107,305,9,8,43.95,
Stomatal Frequencies,55300,100,66,310,21,14,43.95,
Stomatal Frequencies,55298,100,64,303,11,9,44.15,
Stomatal Frequencies,55234,,,666,137,273,56.3,-6.2
Stomatal Frequencies,55125,109,125,514,261,172,44.8,
Stomatal Frequencies,54798,100,100,479,266,141,44.35,-108.39
Stomatal Frequencies,53897,100,100,377,336,48,44.17,-108.13
Stomatal Frequencies,53488,100,100,327,149,15,44.3,
Stomatal Frequencies,53433,100,100,443,301,120,44.35,
Stomatal Frequencies,16500,1500,1500,538,243,188,46.52,-116.75
Stomatal Frequencies,15250,1500,1500,313,279,7,46.99,-116.27
Stomatal Frequencies,15250,1500,1500,339,366,30,46.99,-116.27
Stomatal Frequencies,15150,1500,1500,339,366,30,47.03,-116.34
Stomatal Frequencies,13900,400,400,288,23,36,,
Stomatal Frequencies,15700,700,700,552.5,234.5,189.5,,
Stomatal Frequencies,15800,200,200,564,229,214,,
Stomatal Frequencies,15900,100,400,475.73,174.97,123.99,47,-116.3
Stomatal Frequencies,15900,100,400,539.27,257.79,177.79,47,-116.3
Stomatal Frequencies,15900,100,400,652.4,112.51,84.8,47,-116.3
Stomatal Frequencies,15900,100,400,533.83,92.16,68.24,47,-116.3
Stomatal Frequencies,15900,100,400,536.89,44.67,40.46,47,-116.3
Stomatal Frequencies,15900,100,400,590.15,76.4,61.58,47,-116.3
Stomatal Frequencies,15900,100,400,451.78,47.15,39.26,47,-116.3
Stomatal Frequencies,15900,100,400,389.59,30.1,26.91,47,-116.3
Stomatal Frequencies,15900,100,400,370.39,28.89,25.44,47,-116.3
Stomatal Frequencies,15900,100,400,427.52,83.29,59.86,47,-116.3
Stomatal Frequencies,15900,100,400,479.64,45.16,40.14,47,-116.3
Stomatal Frequencies,15900,100,400,505.56,49.99,40.86,47,-116.3
Stomatal Frequencies,15900,100,400,450.53,20.63,19.68,47,-116.3
Stomatal Frequencies,15900,100,400,565.2,33.16,31.02,47,-116.3
Stomatal Frequencies,15900,100,400,569.08,30.78,28.94,47,-116.3
Stomatal Frequencies,15900,100,400,437.61,36.32,32.1,47,-116.3
Stomatal Frequencies,15900,100,400,419.5,36.17,31.82,47,-116.3
Stomatal Frequencies,15900,100,400,352.4,50.71,39.38,47,-116.3
Stomatal Frequencies,15900,100,400,501.35,55.87,46.56,47,-116.3
Stomatal Frequencies,15900,100,400,550.98,23.31,22.81,47,-116.3
Stomatal Frequencies,15900,100,400,472.86,38.45,33.87,47,-116.3
Stomatal Frequencies,15900,100,400,470.19,27.6,26.03,47,-116.3
Stomatal Frequencies,15900,100,400,485.76,36.76,32.04,47,-116.3
Stomatal Frequencies,15900,100,400,472,39.87,35.32,47,-116.3
